cluster_id,category,fact_text,x_coord,y_coord,z_coord,color_parity
mathematics_cluster_1,Mathematics,The chain rule states (f∘g)' = f'(g(x))·g'(x).,1,1,1,1
mathematics_cluster_1,Mathematics,A differential equation relates a function to its derivatives.,1,1,1,1
mathematics_cluster_1,Mathematics,The curl measures the rotation of a vector field.,1,1,1,1
mathematics_cluster_1,Mathematics,The empty set contains no elements.,1,1,1,1
mathematics_cluster_1,Mathematics,The Laplace transform converts differential equations to algebraic equations.,1,1,1,1
mathematics_cluster_1,Mathematics,The mean value theorem guarantees a point where f'(c) = average rate of change.,1,1,1,1
mathematics_cluster_1,Mathematics,L'Hôpital's rule helps evaluate limits of indeterminate forms.,1,1,1,1
mathematics_cluster_1,Mathematics,Matrices can be multiplied if their inner dimensions match.,1,1,1,1
mathematics_cluster_1,Mathematics,Complex numbers have the form a + bi where i² = -1.,1,1,1,1
mathematics_cluster_1,Mathematics,"The rank-nullity theorem relates dimension, rank, and nullity.",1,1,1,1
mathematics_cluster_2,Mathematics,The inverse of a matrix is calculated using the adjoint and the determinant.,1,1,2,0
mathematics_cluster_2,Mathematics,A set is a collection of distinct objects.,1,1,2,0
mathematics_cluster_2,Mathematics,The gradient vector points in the direction of steepest ascent.,1,1,2,0
mathematics_cluster_2,Mathematics,An inner product generalizes the dot product.,1,1,2,0
mathematics_cluster_2,Mathematics,A compact set is closed and bounded in Euclidean space.,1,1,2,0
mathematics_cluster_2,Mathematics,Eigenvalues satisfy the equation Ax = λx.,1,1,2,0
mathematics_cluster_2,Mathematics,A connected set cannot be divided into two disjoint open sets.,1,1,2,0
mathematics_cluster_2,Mathematics,A ring has two operations: addition and multiplication.,1,1,2,0
mathematics_cluster_2,Mathematics,"A group is a set with an associative binary operation, identity, and inverses.",1,1,2,0
mathematics_cluster_2,Mathematics,Asymptotes are lines that a curve approaches but never touches.,1,1,2,0
mathematics_cluster_3,Mathematics,A function is injective if each output has exactly one input.,1,1,3,1
mathematics_cluster_3,Mathematics,A vector has both magnitude and direction.,1,1,3,1
mathematics_cluster_3,Mathematics,The dot product of two perpendicular vectors is zero.,1,1,3,1
mathematics_cluster_3,Mathematics,Limits describe the behavior of functions as x approaches a value.,1,1,3,1
mathematics_cluster_3,Mathematics,The kernel of a transformation is the set of vectors mapping to zero.,1,1,3,1
mathematics_cluster_3,Mathematics,Inverse of a matrix is the transpose of the inverse of its adjoint.,1,1,3,1
mathematics_cluster_3,Mathematics,"Fibonaci sequence is the sequence starting with 0 and 1, and each subsequent number is the sum of the previous two.",1,1,3,1
mathematics_cluster_3,Mathematics,The divergence theorem relates flux through a surface to divergence in a volume.,1,1,3,1
mathematics_cluster_3,Mathematics,The Heine-Borel theorem characterizes compact sets in Rⁿ.,1,1,3,1
mathematics_cluster_3,Mathematics,A topology defines which sets are open in a space.,1,1,3,1
mathematics_cluster_4,Mathematics,The intersection of sets contains only common elements.,1,1,4,0
mathematics_cluster_4,Mathematics,Integration by parts uses the formula ∫udv = uv - ∫vdu.,1,1,4,0
mathematics_cluster_4,Mathematics,The integral of 1/x is ln|x| + C.,1,1,4,0
mathematics_cluster_4,Mathematics,Linear transformations preserve vector addition and scalar multiplication.,1,1,4,0
mathematics_cluster_4,Mathematics,The quadratic formula is x = (-b ± √(b²-4ac)) / 2a.,1,1,4,0
mathematics_cluster_4,Mathematics,Orthogonal matrices preserve lengths and angles.,1,1,4,0
